#airframe_info,"log_version=""1.00""","airframe_name=""Kitfox""","unit_software_part_number=""001""","unit_software_version=""01""","system_software_part_number=""00""","system_id=""123""",mode=NORMAL
#yyyy-mm-dd,hh:mm:ss.ms,hh:mm:ss,rpm,deg F,deg F,deg F,deg F,deg F,deg F,volts,deg F,deg F,deg F,psi,amps,hours,hh:mm:ss
Lcl Date,Lcl Time,UTCOfst,RPM,CHT2,CHT3,EGT1,EGT2,EGT3,EGT4,Volts,Instrument Temp,Coolant Temp,Oil Temp,Oil Pressure,Amps,AUX2,AUX3,AUX4,AUX5,AUX6,tach_hrs,flight_hrs
2012-04-20,16:00:16.100000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:16.200000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:16.300000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:16.400000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:16.500000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:16.600000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:16.700000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:16.800000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:16.900000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:17.000000,-08:00:00,0,63,63,64,64,63,64,13.3,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:17.100000,-08:00:00,0,63,63,64,64,63,64,13.3,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:17.200000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
